UID,Name,Age,Education,Gender,Starttime,Endtime,Duration,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,SQ8,SQ9,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,SQ17,FQ1,FQ2,FQ3,FQ4,FQ5,FQ6,FQ7,FQ8,FQ9,FQ10,FQ11,FQ12
167,Hana,21-30,Undergraduate,Female,4/26/2025 0:13,4/26/2025 0:15,0:02:31,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,strongly_agree,agree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,Definitely,Quality,In_Store,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
168,carol,21-30,Undergraduate,Female,4/26/2025 0:14,4/26/2025 0:22,0:07:41,disagree,strongly_agree,disagree,disagree,strongly_disagree,strongly_agree,disagree,agree,disagree,disagree,agree,agree,Definitely,Style/Brand,In_Store,public_authorities,"changing how we buy clothes. When people choose to buy less, invest in better quality, and care for what they already own, it sends a clear message to brands.",Neutral,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Agree,Agree,NULL,Agree
169,Abdallah khaled bassim aly mohamed,21-30,Bachelor,Male,4/26/2025 0:47,4/26/2025 0:53,0:05:17,agree,agree,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,strongly_agree,Definitely_not,Quality,Online,public_authorities,Governmental policies,Agree,Agree,Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Neutral,Agree,Agree,NULL,Agree
171,Kelsey,31-40,Postgraudate_Degree,Female,4/26/2025 4:01,4/26/2025 4:09,0:07:51,strongly_agree,agree,agree,agree,agree,disagree,strongly_disagree,agree,disagree,agree,strongly_agree,strongly_agree,no,Quality,Online,public_authorities,Better options to actually recycle fast fashion clothing.,Agree,Agree,Agree,Moderately Helpful,People I know were interested in or sent me that survey.,Agree,Agree,Agree,Agree,Agree,Include a neutral option and ability to comment on each question to provide context. Nice job!,Agree
172,Sally Mancy,31-40,Postgraudate_Degree,Female,4/26/2025 6:28,4/26/2025 6:43,0:15:40,strongly_agree,strongly_disagree,agree,agree,agree,strongly_disagree,disagree,disagree,disagree,agree,agree,strongly_agree,Definitely_not,Quality,In_Store,public_authorities,Raising awareness about fast fashion and its negative impact.,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
175,ahmed badawy,31-40,Bachelor,Male,4/26/2025 8:53,4/26/2025 8:56,0:03:04,disagree,disagree,NULL,strongly_agree,NULL,disagree,disagree,disagree,disagree,strongly_agree,agree,agree,no,Price,In_Store,public_authorities,NULL,Neutral,Neutral,Neutral,Moderately Helpful,People I know were interested in or sent me that survey.,Neutral,Neutral,Neutral,Neutral,Neutral,NULL,Neutral
182,jana raouf,16-20,Undergraduate,Female,4/26/2025 16:32,4/26/2025 16:37,0:04:53,agree,strongly_agree,agree,agree,strongly_agree,disagree,disagree,agree,disagree,agree,agree,agree,partially,Price,In_Store,consumer,because the consumer is the one who could control the shops they demand so if they demanded more ethically sourced clothing then shops will have to listen and do so,Agree,Agree,Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
185,Maya,21-30,Undergraduate,Female,4/26/2025 16:53,4/26/2025 17:00,0:07:38,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,disagree,strongly_agree,agree,agree,agree,agree,partially,Quality,Online,public_authorities,Achieving similar styles locally,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,The survey effectively made me think about fast fashion.,Agree,Agree,Agree,Agree,Agree,NULL,Strongly Agree
189,Jumana,21-30,Undergraduate,Female,4/27/2025 9:47,4/27/2025 10:06,0:18:35,agree,agree,strongly_agree,agree,disagree,agree,strongly_disagree,disagree,disagree,agree,disagree,agree,partially,Quality,In_Store,public_authorities,"I think the most effective approach is to buy fewer clothes, choose better-quality, sustainable options, and support brands that are eco-friendly.",Strongly Agree,Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,I like how it looks like a game where you choose your own and character and gain points while your answering,Strongly Agree
190,Dalia Khairat,51-60,Bachelor,Female,4/27/2025 10:42,4/27/2025 10:55,0:12:28,agree,disagree,agree,disagree,agree,disagree,strongly_disagree,agree,agree,agree,agree,agree,Definitely_not,Quality,In_Store,public_authorities,NULL,Agree,Agree,Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Agree,Agree,Agree,NULL,Strongly Agree
191,Rokaya Mohammed,16-20,Undergraduate,Female,4/27/2025 11:08,4/27/2025 11:15,0:06:57,agree,agree,strongly_agree,disagree,strongly_agree,agree,agree,disagree,agree,agree,disagree,agree,Definitely,Quality,Online,consumer,"Maybe The companies being taxed will reduce the amount of brands who mass produce , so these companies will be somewhat less.",Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Maybe the hierarchy in the text could be better and would help in attention grabbing and would organize the user's thoughts.,Strongly Agree
192,Rania mekky,16-20,Undergraduate,Female,4/27/2025 11:16,4/27/2025 11:23,0:07:02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Agree,Agree,Agree,Moderately Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Agree,Strongly Agree,Strongly Agree,Shorten or simplify sentences so it is clearer. Keep up the good work! :),Strongly Agree
193,salma emam,16-20,Undergraduate,Female,4/27/2025 11:23,4/27/2025 11:31,0:08:11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Agree,Agree,Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Agree,Agree,i think you need more neutral response options,Agree
194,Nour Saber,21-30,Undergraduate,Female,4/27/2025 11:25,4/27/2025 11:32,0:07:05,agree,disagree,agree,disagree,agree,agree,strongly_disagree,agree,agree,agree,agree,strongly_agree,yes,Quality,Online,public_authorities,tax big companies for unethical practices,Agree,Agree,Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Agree,Agree,next button when choosing avatar wasn’t visible,Agree
195,Aly Serry,21-30,Undergraduate,Male,4/27/2025 11:26,4/27/2025 11:30,0:04:18,strongly_agree,agree,strongly_agree,disagree,strongly_agree,disagree,disagree,agree,strongly_agree,strongly_agree,disagree,strongly_agree,no,Quality,Online,public_authorities,taxing corporations who participate in the industry,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,People I know were interested in or sent me that survey.,Agree,Neutral,Agree,Agree,Agree,NULL,Agree
196,Ali shaheen,21-30,Undergraduate,Male,4/27/2025 11:26,4/27/2025 11:33,0:07:02,strongly_agree,disagree,strongly_agree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,disagree,Definitely_not,Quality,In_Store,public_authorities,To reduce its impact effectively the public opinion needs to be more negative towards it.,Strongly Agree,Agree,Strongly Agree,Moderately Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Neutral,Neutral,Agree,NULL,Agree
197,Donia,16-20,Undergraduate,Female,4/27/2025 11:26,4/27/2025 11:32,0:06:44,agree,agree,agree,disagree,disagree,agree,agree,disagree,disagree,disagree,agree,agree,Definitely,Quality,Online,public_authorities,Dddd,Neutral,Agree,Agree,Very Helpful,The survey effectively made me think about fast fashion.,Agree,Agree,Agree,Agree,Agree,NULL,Strongly Agree
199,Hania,21-30,Undergraduate,Female,4/27/2025 11:26,4/27/2025 11:32,0:05:55,strongly_agree,disagree,strongly_agree,disagree,disagree,agree,strongly_disagree,strongly_disagree,agree,agree,agree,strongly_agree,no,Quality,Online,consumer,Tax them,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-,Agree
201,Mohamed Amr Weheba,16-20,Undergraduate,Male,4/27/2025 11:27,4/27/2025 11:33,0:05:48,disagree,agree,agree,disagree,disagree,disagree,disagree,disagree,agree,agree,disagree,disagree,no,Quality,In_Store,public_authorities,Government intervention,Agree,Agree,Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Neutral,Agree,Agree,Strongly Agree,NULL,Agree
202,Ramy Ahmed,16-20,Undergraduate,Male,4/27/2025 11:28,4/27/2025 11:41,0:13:04,agree,agree,agree,agree,agree,disagree,strongly_agree,agree,strongly_disagree,strongly_agree,strongly_agree,agree,yes,Ethicality,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disgree,Strongly Disgree,NULL,Strongly Agree
203,Yassin Mohsen,16-20,Undergraduate,Male,4/27/2025 11:28,4/27/2025 11:32,0:03:42,disagree,agree,agree,strongly_agree,agree,strongly_disagree,strongly_agree,disagree,strongly_disagree,strongly_agree,agree,strongly_agree,partially,Price,In_Store,public_authorities,NULL,Disagree,Strongly Agree,Strongly Agree,Very Helpful,The survey effectively made me think about fast fashion.,Neutral,Agree,Agree,Agree,Disgree,NULL,Strongly Agree
208,Ahmed,16-20,Undergraduate,Male,4/27/2025 11:29,4/27/2025 11:35,0:05:49,strongly_agree,agree,agree,agree,disagree,agree,agree,agree,disagree,agree,agree,strongly_agree,yes,Ethicality,In_Store,consumer,Online,Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
209,mohamed hatem anwar,16-20,Undergraduate,Male,4/27/2025 11:29,4/27/2025 11:42,0:12:38,agree,strongly_agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,partially,Price,In_Store,public_authorities,a combination of systemic change and consumer behavior shift.,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"in my opinion, there is no limits or mistakes in the structure and running of the survey",Agree
210,blob,16-20,Undergraduate,Male,4/27/2025 11:29,4/27/2025 11:35,0:05:25,disagree,agree,agree,strongly_agree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,strongly_agree,no,Price,In_Store,public_authorities,Spread awareness by showing how much damage they cause the environment.,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Neutral,Agree,Agree,NULL,Agree
211,Youssef Ashraf Hussien,16-20,Undergraduate,Male,4/27/2025 11:30,4/27/2025 11:33,0:03:07,agree,agree,agree,agree,disagree,strongly_agree,strongly_disagree,strongly_agree,disagree,strongly_agree,agree,disagree,no,Ethicality,In_Store,public_authorities,NULL,Disagree,Strongly Agree,Disgree,Very Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Neutral,Agree,Neutral,Neutral,NULL,Strongly Agree
212,Ibrahim Soltan,21-30,Undergraduate,Male,4/27/2025 11:30,4/27/2025 11:38,0:08:23,disagree,agree,strongly_agree,agree,agree,disagree,strongly_disagree,disagree,agree,disagree,disagree,strongly_agree,no,Quality,In_Store,public_authorities,More customer awareness.,Strongly Agree,Agree,Strongly Agree,Very Helpful,The survey effectively made me think about fast fashion.,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Using bigger buttons positioned in two columns with coloring would be better than radio buttons.,Agree
213,Ahmed,21-30,Undergraduate,Male,4/27/2025 11:30,4/27/2025 11:34,0:04:24,agree,disagree,strongly_agree,agree,agree,disagree,disagree,disagree,agree,agree,agree,strongly_agree,Definitely_not,Quality,In_Store,public_authorities,Government,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
216,hamza,21-30,Bachelor,Male,4/27/2025 11:30,4/27/2025 11:34,0:04:37,agree,agree,strongly_agree,disagree,agree,agree,agree,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_agree,no,Quality,In_Store,public_authorities,close the sweat shops,Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
218,Ahmed Karam,16-20,Undergraduate,Male,4/27/2025 11:31,4/27/2025 11:38,0:06:33,agree,agree,strongly_agree,disagree,disagree,agree,disagree,agree,agree,agree,strongly_agree,strongly_agree,partially,Quality,In_Store,public_authorities,To stop romanticizing buying new clothes we don’t need,Agree,Agree,Agree,Moderately Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Agree,Agree,Neutral,NULL,Neutral
222,Dana Khaled,16-20,Undergraduate,Female,4/27/2025 11:33,4/27/2025 11:40,0:06:28,agree,agree,agree,disagree,disagree,agree,disagree,agree,strongly_disagree,agree,disagree,agree,partially,Quality,In_Store,public_authorities,Use sustainable materials and environmentally friendly sources of power,Strongly Agree,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Agree,Strongly Agree,good luck!,Strongly Agree
224,Sarah,16-20,Undergraduate,Female,4/27/2025 11:33,4/27/2025 11:44,0:11:07,agree,agree,agree,agree,agree,disagree,agree,strongly_agree,agree,agree,agree,agree,no,Style/Brand,In_Store,public_authorities,Have brands speak publicly about their ethical and environmental effects.,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,NULL,Agree
225,Nada Mohamed,21-30,Undergraduate,Female,4/27/2025 11:33,4/27/2025 11:39,0:05:26,strongly_agree,agree,agree,strongly_agree,agree,agree,agree,agree,agree,agree,agree,strongly_agree,yes,Price,Online,public_authorities,GOODLUCK,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,GOODLUCKKK,Strongly Agree
226,Karim tarek,21-30,Undergraduate,Male,4/27/2025 11:33,4/27/2025 11:41,0:07:44,agree,agree,agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,yes,Price,Online,consumer,Encourage the brands to use reusable and sustainable in their materials,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Agree,Agree,Neutral,Agree,Agree,NULL,Strongly Agree
227,Fares,21-30,Bachelor,Male,4/27/2025 11:34,4/27/2025 11:39,0:04:47,agree,agree,strongly_agree,disagree,agree,agree,strongly_disagree,disagree,agree,agree,strongly_agree,strongly_agree,partially,Quality,In_Store,public_authorities,Promote more the other methodologies through marketing and awareness campaigns,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
228,Nardy Micheal,21-30,Undergraduate,Male,4/27/2025 11:35,4/27/2025 11:42,0:07:34,agree,agree,agree,agree,disagree,agree,disagree,strongly_disagree,agree,strongly_agree,agree,agree,partially,Quality,Online,public_authorities,Having great quality with great prices available in different locations and delivery for all places,Agree,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Agree,Agree,Agree,Agree,NULL,Strongly Agree
229,Aliaa Ahmed,16-20,Undergraduate,Female,4/27/2025 11:35,4/27/2025 11:40,0:04:39,agree,agree,strongly_agree,agree,strongly_agree,disagree,disagree,agree,agree,disagree,strongly_disagree,strongly_agree,no,Price,In_Store,public_authorities,Integrate new technologies in production to make things more sustainable.,Strongly Agree,Neutral,Strongly Agree,Slightly Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Neutral,Neutral,Neutral,Agree,NULL,Agree
230,Zeina Elmofty,21-30,Undergraduate,Female,4/27/2025 11:36,4/27/2025 11:38,0:02:27,agree,agree,strongly_agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,partially,Style/Brand,In_Store,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,NULL,Strongly Agree
231,Rawan Mohamed,21-30,Bachelor,Female,4/27/2025 11:36,4/27/2025 11:39,0:03:10,agree,agree,agree,disagree,disagree,agree,disagree,disagree,agree,agree,agree,agree,Definitely,Quality,Online,consumer,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,NULL,Strongly Disagree
232,Omnia kamal,16-20,Undergraduate,Female,4/27/2025 11:37,4/27/2025 11:41,0:04:36,agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,agree,strongly_agree,agree,agree,strongly_agree,no,Quality,In_Store,public_authorities,Marketing campaigns,Strongly Agree,Agree,Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
235,Gera,21-30,Bachelor,Female,4/27/2025 11:36,4/27/2025 11:40,0:04:09,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Definitely,Quality,Online,consumer,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
240,Ahmed Hamouda,21-30,Bachelor,Male,4/27/2025 11:39,4/27/2025 11:43,0:03:58,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,agree,strongly_disagree,disagree,strongly_agree,agree,strongly_agree,strongly_agree,Definitely,Price,In_Store,public_authorities,Recycling,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
241,Mireille,21-30,Bachelor,Female,4/27/2025 11:39,4/27/2025 11:45,0:05:14,strongly_agree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,agree,agree,yes,Quality,Online,public_authorities,Recycling,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Neutral,Agree,Agree,Agree,The sound effects while writing were a bit much but otherwise it’s very fun,Agree
242,abeer alshreef,16-20,Undergraduate,Female,4/27/2025 11:40,4/27/2025 11:45,0:04:43,agree,agree,strongly_agree,agree,agree,disagree,disagree,agree,disagree,agree,agree,agree,partially,Quality,In_Store,consumer,NULL,Agree,Agree,Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Agree,Neutral,Neutral,Agree,NULL,Neutral
243,Adham Hossameldin,16-20,Undergraduate,Male,4/27/2025 11:41,4/27/2025 11:47,0:06:28,disagree,agree,agree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,no,Quality,In_Store,public_authorities,Policy making,Agree,Strongly Agree,Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
244,Ammar,16-20,Undergraduate,Male,4/27/2025 11:41,4/27/2025 11:48,0:06:40,strongly_agree,disagree,agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,Definitely_not,Style/Brand,Online,public_authorities,regular checkups for worker safety and product ethicallity.,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,unique experience. all was good,Strongly Agree
245,Omar Mostafa,21-30,Undergraduate,Male,4/27/2025 11:41,4/27/2025 11:46,0:05:23,agree,agree,strongly_agree,agree,disagree,strongly_agree,disagree,disagree,disagree,strongly_agree,disagree,agree,Definitely,Quality,In_Store,public_authorities,Only buy what you need,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
246,Mariam hany,21-30,Undergraduate,Female,4/27/2025 11:42,4/27/2025 11:48,0:05:25,disagree,agree,agree,disagree,disagree,agree,agree,agree,strongly_disagree,disagree,disagree,disagree,no,Price,In_Store,consumer,I don’t know,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
247,Carol Tarek,21-30,Bachelor,Female,4/27/2025 11:42,4/27/2025 11:48,0:05:14,agree,strongly_agree,agree,disagree,disagree,agree,agree,agree,disagree,disagree,agree,agree,partially,Style/Brand,Online,public_authorities,I don’t have a specific approach in mind,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Neutral
248,Youssef Ahmed,21-30,Bachelor,Male,4/27/2025 11:43,4/27/2025 11:53,0:10:07,strongly_disagree,disagree,agree,disagree,disagree,strongly_disagree,disagree,disagree,strongly_agree,agree,agree,agree,partially,Quality,Online,public_authorities,Customers changing their buying habits,Agree,Neutral,Agree,Very Helpful,People I know were interested in or sent me that survey.,Agree,Neutral,Disgree,Neutral,Agree,NULL,Neutral
249,Laila Gohar,21-30,Bachelor,Female,4/27/2025 11:43,4/27/2025 11:54,0:10:31,agree,agree,agree,disagree,agree,disagree,disagree,agree,agree,agree,disagree,agree,no,Quality,Online,public_authorities,Changing governmental policies,Agree,Agree,Agree,Very Helpful,The survey effectively made me think about fast fashion.,Agree,Neutral,Agree,Agree,Agree,NULL,Agree
251,Mohamed shokry,21-30,Undergraduate,Male,4/27/2025 11:44,4/27/2025 11:51,0:07:05,agree,agree,strongly_agree,agree,agree,agree,agree,agree,disagree,agree,strongly_agree,strongly_agree,no,Price,Online,public_authorities,NULL,Strongly Agree,Neutral,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Agree,Agree,Agree,Strongly Agree,NULL,Strongly Agree
254,Amr mohamed,21-30,Undergraduate,Male,4/27/2025 11:44,4/27/2025 11:57,0:13:09,agree,agree,agree,disagree,agree,agree,disagree,agree,disagree,agree,agree,agree,no,Quality,In_Store,public_authorities,Taxation,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Agree,Agree,Agree,NULL,Strongly Agree
255,Mohamed Mohsen,21-30,Undergraduate,Male,4/27/2025 11:45,4/27/2025 11:57,0:11:52,agree,agree,agree,strongly_agree,agree,disagree,strongly_disagree,disagree,agree,agree,agree,strongly_agree,no,Style/Brand,Online,public_authorities,"Tax exempts for small brands, heavily tax companies that pollute the environment and who don't offer fair wages for their workers",Strongly Agree,Agree,Strongly Agree,Very Helpful,The survey effectively made me think about fast fashion.,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The UI was a refreshing one, and the avatar picking made it have a more humanely connection",Agree
256,Ahmed Hany,21-30,Undergraduate,Male,4/27/2025 11:46,4/27/2025 11:49,0:02:50,disagree,strongly_agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,agree,agree,strongly_agree,yes,Price,In_Store,consumer,More knowledge,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
257,Farah sameh,21-30,Undergraduate,Female,4/27/2025 11:46,4/27/2025 11:55,0:09:07,strongly_agree,disagree,agree,disagree,disagree,disagree,disagree,strongly_agree,agree,agree,agree,strongly_agree,no,Quality,Online,public_authorities,Producing more higher quality with less environmental friendly products,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
260,Nour eissa,16-20,Undergraduate,Male,4/27/2025 11:48,4/27/2025 11:58,0:09:56,disagree,agree,strongly_disagree,agree,strongly_disagree,agree,strongly_disagree,strongly_disagree,agree,disagree,agree,disagree,no,Style/Brand,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
264,Mohab Wael,21-30,Undergraduate,Male,4/27/2025 11:49,4/27/2025 11:56,0:07:09,agree,strongly_agree,disagree,disagree,strongly_disagree,strongly_disagree,disagree,disagree,agree,disagree,agree,disagree,no,Style/Brand,Online,public_authorities,using sustainable raw materials,Strongly Agree,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Neutral,Strongly Agree,Agree,Agree,NULL,Agree
267,Habiba Wael,16-20,Undergraduate,Female,4/27/2025 11:51,4/27/2025 12:00,0:08:50,strongly_agree,agree,agree,disagree,agree,agree,disagree,agree,disagree,agree,disagree,agree,yes,Price,In_Store,public_authorities,By emphasizing the advantages of local businesses,Strongly Agree,Agree,Strongly Agree,Moderately Helpful,People I know were interested in or sent me that survey.,Agree,Agree,Strongly Agree,Agree,Strongly Agree,NULL,Strongly Agree
268,Yara khaled,16-20,Undergraduate,Female,4/27/2025 11:51,4/27/2025 12:00,0:09:04,strongly_agree,agree,strongly_agree,agree,strongly_agree,strongly_disagree,disagree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,no,Quality,In_Store,Everyone the consumer and the person providing the product,introducing more ethically and environmentally friendly products and brands into the market for people to replace their regular products with,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
269,tarek,16-20,Undergraduate,Female,4/27/2025 11:51,4/27/2025 12:02,0:10:24,agree,disagree,agree,disagree,strongly_disagree,disagree,disagree,agree,agree,agree,agree,strongly_agree,no,Quality,Online,public_authorities,NULL,Agree,Agree,Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Neutral,Disgree,Disgree,Neutral,NULL,Neutral
270,Raqia,16-20,Undergraduate,Female,4/27/2025 11:51,4/27/2025 12:02,0:10:38,agree,strongly_agree,strongly_disagree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,agree,agree,no,Quality,In_Store,public_authorities,NULL,Agree,Neutral,Neutral,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Disgree,Strongly Disgree,Neutral,Agree,NULL,Neutral
